link,exact_address,size,rooms,monthly_fee,location,has_elevator,has_balcony,listing_price,end_price,price_change_percentage,price_per_sqm,date
https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-katarina-sofia-stockholms-kommun-katarina-bangata-57-2301627148330892737,Katarina bangata 57,65.0,3.0,3453,"Södermalm - Katarina Sofia, Stockholms kommun",True,True,6228070,7100000,14,109231,2024-09-13
https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-stockholms-kommun-reimersholmsgatan-77-3591220466641167216,Reimersholmsgatan 77,86.0,3.0,6294,"Södermalm, Stockholms kommun",True,True,6960784,7100000,2,82558,2024-09-13
"https://www.hemnet.se/salda/lagenhet-1,5rum-farsta-strand-stockholms-kommun-brattforsgatan-1-2734982711209506901",Brattforsgatan 1,36.5,1.5,2925,"Farsta Strand, Stockholms kommun",True,False,1850000,1850000,0,50685,2024-09-13
https://www.hemnet.se/salda/villa-8rum-spanga-solhem-stockholms-kommun-solhemsvagen-11-8080270039136399751,Solhemsvägen 11,160.0,8.0,902,"Spånga - Solhem, Stockholms kommun",False,False,8000000,8000000,0,,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-bromma-traneberg-stockholms-kommun-vidangsvagen-47-3019185250802606627,Vidängsvägen 47,38.5,2.0,3542,"Bromma Traneberg, Stockholms kommun",False,True,2401960,2450000,2,63636,2024-09-13
"https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-asogatan-162,-van-6-6-7604497058250879014",Åsögatan 162,50.0,2.0,2255,"Katarina, Stockholms kommun",True,True,5290178,5925000,12,118500,2024-09-13
"https://www.hemnet.se/salda/lagenhet-3,5rum-farsta-centrum-stockholms-kommun-molkomsbacken-7-9010217400899906464",Molkomsbacken 7,80.0,3.5,4466,"Farsta - Centrum, Stockholms kommun",False,True,2500000,2700000,8,33750,2024-09-13
"https://www.hemnet.se/salda/lagenhet-2rum-nedre-kungsholmen-stockholms-kommun-norr-malarstrand-58-john-ericssonsgatan-1,4tr-8850065065976696383",Norr Mälarstrand 58/John Ericssonsgatan 1,60.0,2.0,3162,"Nedre Kungsholmen, Stockholms kommun",False,False,6376146,6950000,9,115833,2024-09-13
"https://www.hemnet.se/salda/lagenhet-6rum-grondal-stockholms-kommun-ekensbergsvagen-15,-van-4-5-8709300005879508389",Ekensbergsvägen 15,139.0,6.0,4602,"Gröndal, Stockholms kommun",True,True,9953271,10650000,7,76619,2024-09-13
https://www.hemnet.se/salda/lagenhet-1rum-grimsta-stockholms-kommun-grimstagatan-62-6977492935819707934,Grimstagatan 62,48.0,1.0,3792,"Grimsta, Stockholms kommun",False,True,991596,1180000,19,24583,2024-09-13
https://www.hemnet.se/salda/lagenhet-3rum-karrtorp-stockholms-kommun-huvudskarsvagen-3-4863562838123215906,Huvudskärsvägen 3,68.0,3.0,4891,"Kärrtorp, Stockholms kommun",False,True,4009433,4250000,6,62500,2024-09-13
https://www.hemnet.se/salda/lagenhet-3rum-bagarmossen-stockholms-kommun-svartagatan-74-3978911786138849333,Svartågatan 74,74.0,3.0,5322,"Bagarmossen, Stockholms kommun",False,False,3838095,4030000,5,54459,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-bromma-mariehall-stockholms-kommun-askangsbacken-56-1381780920214534506,Askängsbacken 56,34.0,2.0,3146,"Bromma / Mariehäll, Stockholms kommun",True,True,1991869,2450000,23,72059,2024-09-13
https://www.hemnet.se/salda/lagenhet-1rum-enskede-stockholms-kommun-nynasvagen-332-722971782081271746,Nynäsvägen 332,40.0,1.0,2450,"Enskede, Stockholms kommun",False,False,2594339,2750000,6,68750,2024-09-13
https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-gardet-stockholms-kommun-tegeluddsvagen-30-8531288424069983544,Tegeluddsvägen 30,26.0,1.0,1906,"Östermalm / Gärdet, Stockholms kommun",True,True,2800000,2800000,0,107692,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-vasastaden-stockholms-kommun-karlbergsvagen-25a-6673637713298308042,Karlbergsvägen 25A,35.0,2.0,1529,"Stockholm, Stockholms kommun",True,False,4380952,4600000,5,131429,2024-09-13
https://www.hemnet.se/salda/lagenhet-4rum-grondal-stockholms-kommun-fagelsangsvagen-13-1373621328048606714,Fågelsångsvägen 13,101.0,4.0,6496,"Gröndal, Stockholms kommun",True,True,9803921,10000000,2,99010,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kungsklippan-22-7270946349170782834,Kungsklippan 22,44.5,2.0,4694,"Kungsholmen, Stockholms kommun",True,False,4781553,4925000,3,110674,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-bromma-akeshov-stockholms-kommun-knypplerskevagen-21-5802409950061809625,Knypplerskevägen 21,42.5,2.0,4286,"Bromma - Åkeshov, Stockholms kommun",False,False,1999999,2200000,10,51765,2024-09-13
"https://www.hemnet.se/salda/lagenhet-2rum-hjorthagen-stockholms-kommun-ahlsellvagen-10,-3-tr-5515813028345679382",Ahlsellvägen 10,44.2,2.0,3723,"Hjorthagen, Stockholms kommun",False,False,3365384,3500000,4,79186,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-tomtebogatan-21-1731131955400313629,Tomtebogatan 21,76.4,2.0,5101,"Vasastan, Stockholms kommun",True,True,9852941,10050000,2,131545,2024-09-13
"https://www.hemnet.se/salda/lagenhet-5rum-farsta-stockholms-kommun-eksharadsgatan-83,-4tr-1217260364486807579",Ekshäradsgatan 83,108.5,5.0,6383,"Farsta, Stockholms kommun",True,True,3990384,4150000,4,38249,2024-09-13
https://www.hemnet.se/salda/lagenhet-1rum-svedmyra-stockholms-kommun-jonakersvagen-2-d-5137183003380715905,Jönåkersvägen 2 D,39.0,1.0,2809,"Svedmyra, Stockholms kommun",True,False,2291666,2475000,8,63462,2024-09-13
https://www.hemnet.se/salda/lagenhet-4rum-hasselby-gard-stockholms-kommun-astrakangatan-4-5043142647553189621,Astrakangatan 4,88.0,4.0,6620,"Hässelby Gård, Stockholms kommun",True,True,1990291,2050000,3,23295,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-arsta-stockholms-kommun-dellensvagen-15-3141645230785253915,Dellensvägen 15,58.0,2.0,4197,"Årsta, Stockholms kommun",False,True,2901785,3250000,12,56034,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-lilla-vasterbron-14-2736330507149018137,Lilla Västerbron 14,65.5,2.0,3941,"Kungsholmen Fridhemsplan, Stockholms kommun",True,True,5518867,5850000,6,89313,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-creutzgatan-1-5180163571366018696,Creutzgatan 1,40.0,2.0,2998,"Kungsholmen, Stockholms kommun",False,False,3691588,3950000,7,98750,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kungsholms-strand-109-3610960665646373496,Kungsholms strand 109,59.0,2.0,3904,"Kungsholmen, Stockholms kommun",True,False,5000000,5150000,3,87288,2024-09-13
