Datum;Grupp;Serie;Värde
2016-06-09;Riksbankens styrräntor;Styrränta;-0,50
2016-06-10;Riksbankens styrräntor;Styrränta;-0,50
2016-06-13;Riksbankens styrräntor;Styrränta;-0,50
2016-06-14;Riksbankens styrräntor;Styrränta;-0,50
2016-06-15;Riksbankens styrräntor;Styrränta;-0,50
2016-06-16;Riksbankens styrräntor;Styrränta;-0,50
2016-06-17;Riksbankens styrräntor;Styrränta;-0,50
2016-06-20;Riksbankens styrräntor;Styrränta;-0,50
2016-06-21;Riksbankens styrräntor;Styrränta;-0,50
2016-06-22;Riksbankens styrräntor;Styrränta;-0,50
2016-06-23;Riksbankens styrräntor;Styrränta;-0,50
2016-06-27;Riksbankens styrräntor;Styrränta;-0,50
2016-06-28;Riksbankens styrräntor;Styrränta;-0,50
2016-06-29;Riksbankens styrräntor;Styrränta;-0,50
2016-06-30;Riksbankens styrräntor;Styrränta;-0,50
2016-07-01;Riksbankens styrräntor;Styrränta;-0,50
2016-07-04;Riksbankens styrräntor;Styrränta;-0,50
2016-07-05;Riksbankens styrräntor;Styrränta;-0,50
2016-07-06;Riksbankens styrräntor;Styrränta;-0,50
2016-07-07;Riksbankens styrräntor;Styrränta;-0,50
2016-07-08;Riksbankens styrräntor;Styrränta;-0,50
2016-07-11;Riksbankens styrräntor;Styrränta;-0,50
2016-07-12;Riksbankens styrräntor;Styrränta;-0,50
2016-07-13;Riksbankens styrräntor;Styrränta;-0,50
2016-07-14;Riksbankens styrräntor;Styrränta;-0,50
2016-07-15;Riksbankens styrräntor;Styrränta;-0,50
2016-07-18;Riksbankens styrräntor;Styrränta;-0,50
2016-07-19;Riksbankens styrräntor;Styrränta;-0,50
2016-07-20;Riksbankens styrräntor;Styrränta;-0,50
2016-07-21;Riksbankens styrräntor;Styrränta;-0,50
2016-07-22;Riksbankens styrräntor;Styrränta;-0,50
2016-07-25;Riksbankens styrräntor;Styrränta;-0,50
2016-07-26;Riksbankens styrräntor;Styrränta;-0,50
2016-07-27;Riksbankens styrräntor;Styrränta;-0,50
