exact_address,price,size,rooms,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,ending_price,price_change_percentage,ending_price_per_sqm
Fredrika bremers gata 5,,77.5,3.0,6390,,"Fruängen, Stockholms kommun",False,True,2700000,±0 %,34839
Olof skötkonungs väg 2,,35.0,2.0,2660,,"Aspudden, Stockholms kommun",False,False,3150000,+13 %,90000
"Erik Dahlbergsgatan 69, 6 tr",,70.0,3.0,3694,,"Gärdet/Östermalm, Stockholms kommun",True,True,7300000,±0 %,104286
Södermannagatan 34,,38.0,2.0,2009,,"Södermalm - SOFO, Stockholms kommun",True,False,3950000,+23 %,103947
Ernst Ahlgrens Väg 10,,41.0,2.0,2643,,"Fredhäll, Stockholms kommun",False,True,3730000,+4 %,90976
"Ågesta Broväg 32, 2 tr",,99.0,4.0,6537,,"Farsta Strand, Stockholms kommun",True,False,3700000,-3 %,37374
Frejgatan 23,,41.0,1.0,2647,,"Vasastan - Sibirien, Stockholms kommun",True,False,4000000,-2 %,97561
Läggestavägen 20,,57.0,2.0,3784,,"Bandhagen, Stockholms kommun",False,True,2300000,+15 %,40351
,,,,,,,False,False,,,
,,,,,,,False,False,,,
"Polhemsgatan 16, 4 tr",,63.0,3.0,2540,,"Nedre Kungsholmen, Stockholms kommun",True,True,7025000,+7 %,111508
"Kubbegatan 23, 1 tr",,75.0,3.0,4398,,"Sköndal, Stockholms kommun",False,False,3350000,+14 %,44667
Sandfjärdsgatan 33,,27.0,1.0,2403,,"Årsta, Stockholms kommun",True,False,2000000,+6 %,74074
Jämtlandsgatan 107,,65.0,3.0,4529,,"Vällingby Parkstad / Råcksta, Stockholms kommun",True,True,2900000,±0 %,44615
"Bergsundsgatan 13, 5tr",,19.0,1.0,1781,,"Södermalm - Hornstull, Stockholms kommun",True,False,2600000,+9 %,136842
"Erik Dahlbergsgatan 18, 2tr",,68.0,3.0,3847,,"Gärdet, Stockholms kommun",True,True,8200000,+6 %,120588
Sigrid Undsets Gata 22,,59.0,2.5,3293,,"Bromma - Blackeberg, Stockholms kommun",False,True,2750000,+2 %,46610
"Midskeppsgatan 10, 5 tr",,58.0,2.0,3864,,"Hammarby Sjöstad, Stockholms kommun",True,True,4750000,+1 %,81897
Älvsjö Stationsgata 14,,39.0,1.5,3619,,"Älvsjö, Stockholms kommun",True,True,2350000,-4 %,60256
Kubikenborgsvägen 1C,,25.0,1.0,623,,"Enskede - Stureby, Stockholms kommun",False,False,2310000,-23 %,92400
Drejargatan 6,,39.0,2.0,2324,,"Birkastan Vasastan, Stockholms kommun",True,False,4575000,+8 %,117308
Liljeholmsvägen 32,,72.5,3.0,5190,,"Liljeholmen, Stockholms kommun",True,True,5400000,+4 %,74483
"Sandfjärdsgatan 15, 3tr",,40.0,1.5,2673,,"Årsta, Stockholms kommun",False,False,2410000,+5 %,60250
Tvätterskevägen 6 vån 3/3,,,1.5,2447,,"Kungsholmen -Stora Essingen, Stockholms kommun",False,True,3175000,+6 %,79375
"Birger Jarlsgatan 115A, 4tr",,34.0,1.5,2063,,"Vasastan - Sibirien, Stockholms kommun",True,True,3850000,+1 %,113235
"Åmänningevägen 10, 2 tr",,55.0,2.0,4347,,"Årsta, Stockholms kommun",False,True,3225000,+8 %,58636
Tomtebogatan 50,,57.0,2.0,2665,,"Vasastan, Stockholms kommun",True,True,7000000,+9 %,122807
Sonja Kovalevskys Gata 3,,86.0,4.0,4730,,"Vasastan / Hagastaden, Stockholms kommun",True,True,10200000,+3 %,118605
"Rorgängargatan 15A, 4 tr",,66.0,2.0,4014,,"Hammarby Sjöstad, Stockholms kommun",True,True,5125000,+5 %,77652
Nybrogatan 45E,,84.0,3.0,3779,,"Östermalm, Stockholms kommun",True,True,11800000,-2 %,140476
Badstrandsvägen 27 vån 3/3,,43.0,2.0,2610,,"Kungsholmen- Stora Essingen, Stockholms kommun",False,True,3370000,+13 %,78372
"Bondegatan 27, 3 tr",,79.5,3.0,4682,,"Södermalm - Katarina, Stockholms kommun",True,True,7100000,+5 %,89308
